                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.63061,                0.63115,                0.93731,                0.58874,                0.45195,                0.45009,                0.37705,                0.77924,                 1.1491,                 1.0494,               0.003169,               0.003169,               0.003169
                     71,                0.62061,                0.61379,                 0.9348,                0.68507,                0.39232,                0.44445,                 0.3793,                0.77778,                 1.1761,                 1.0486,                0.00307,                0.00307,                0.00307
                     72,                0.61891,                0.61517,                0.93103,                0.73139,                0.38821,                0.44628,                 0.3786,                0.77401,                 1.1405,                 1.0439,               0.002971,               0.002971,               0.002971
                     73,                0.61708,                0.60055,                0.92865,                0.73896,                0.38336,                0.45609,                0.38871,                0.76938,                 1.1454,                 1.0353,               0.002872,               0.002872,               0.002872
                     74,                0.61467,                0.60264,                0.92736,                0.76202,                0.36518,                0.44282,                0.37757,                 0.7705,                 1.1581,                 1.0387,               0.002773,               0.002773,               0.002773
                     75,                0.60948,                 0.5902,                0.92612,                0.66976,                0.40557,                 0.4684,                0.39404,                0.77135,                 1.1505,                  1.042,               0.002674,               0.002674,               0.002674
                     76,                0.60729,                0.58421,                0.92823,                0.59294,                0.42627,                0.45578,                0.38489,                 0.7738,                 1.1314,                 1.0501,               0.002575,               0.002575,               0.002575
                     77,                0.60802,                0.57862,                0.92776,                 0.7059,                0.37566,                0.45198,                0.37978,                0.78057,                 1.1326,                 1.0484,               0.002476,               0.002476,               0.002476
                     78,                0.60336,                0.57954,                0.92645,                 0.6291,                0.41384,                0.46811,                0.39701,                0.77578,                 1.1559,                 1.0487,               0.002377,               0.002377,               0.002377
                     79,                0.59431,                0.55982,                0.91791,                0.61983,                0.42584,                0.46257,                 0.3901,                0.76684,                 1.1519,                 1.0398,               0.002278,               0.002278,               0.002278
                     80,                0.59698,                 0.5584,                0.92221,                0.52626,                0.47494,                0.47718,                0.40938,                0.77163,                 1.1572,                 1.0462,               0.002179,               0.002179,               0.002179
                     81,                0.59011,                0.55017,                0.92143,                0.62571,                0.41409,                0.46083,                0.39152,                0.77412,                 1.1625,                 1.0509,                0.00208,                0.00208,                0.00208
                     82,                0.58791,                0.54025,                0.91882,                0.66898,                0.40716,                0.45379,                0.38739,                0.76946,                  1.152,                 1.0494,               0.001981,               0.001981,               0.001981
                     83,                0.58335,                0.53392,                0.91847,                 0.6609,                0.37786,                 0.4496,                0.38093,                  0.769,                 1.1583,                 1.0445,               0.001882,               0.001882,               0.001882
                     84,                 0.5869,                0.53161,                0.91901,                0.71471,                0.37513,                0.44846,                0.37983,                0.77011,                 1.1796,                 1.0515,               0.001783,               0.001783,               0.001783
                     85,                0.59061,                0.53516,                0.91757,                0.62208,                 0.4074,                0.45284,                0.38562,                0.76509,                 1.1738,                 1.0462,               0.001684,               0.001684,               0.001684
                     86,                 0.5783,                0.52908,                 0.9154,                0.70425,                0.38395,                0.44881,                0.38106,                0.76841,                 1.1713,                 1.0492,               0.001585,               0.001585,               0.001585
                     87,                0.57676,                0.52458,                0.91025,                0.59189,                0.42959,                0.46645,                0.39653,                0.76252,                 1.1623,                 1.0434,               0.001486,               0.001486,               0.001486
                     88,                0.56988,                0.51018,                0.91076,                0.60904,                0.42879,                0.45259,                0.38635,                0.76327,                  1.162,                 1.0465,               0.001387,               0.001387,               0.001387
                     89,                0.57151,                0.50456,                0.91369,                 0.6452,                0.41657,                0.45641,                0.38902,                0.76666,                  1.145,                 1.0435,               0.001288,               0.001288,               0.001288
                     90,                0.52909,                 0.3958,                0.88933,                0.57031,                0.42882,                  0.454,                0.38524,                0.77123,                 1.1679,                 1.0468,               0.001189,               0.001189,               0.001189
                     91,                0.52218,                0.39466,                0.88968,                0.64794,                0.42268,                0.46161,                0.39137,                0.77196,                 1.1715,                 1.0518,                0.00109,                0.00109,                0.00109
                     92,                0.51279,                0.37214,                0.88091,                0.60117,                0.45353,                0.47146,                0.39849,                0.77233,                 1.1802,                 1.0506,               0.000991,               0.000991,               0.000991
                     93,                0.51241,                0.37099,                0.88433,                0.58583,                0.44781,                0.45991,                0.38959,                0.77131,                 1.1896,                 1.0523,               0.000892,               0.000892,               0.000892
                     94,                0.50699,                0.35928,                0.88044,                0.65916,                0.43605,                 0.4724,                0.40174,                0.76843,                 1.1796,                 1.0538,               0.000793,               0.000793,               0.000793
                     95,                0.50523,                0.36316,                0.87929,                0.64709,                0.44069,                0.46657,                 0.3951,                0.76735,                 1.2052,                 1.0504,               0.000694,               0.000694,               0.000694
                     96,                0.50324,                 0.3554,                0.88026,                0.65477,                0.43099,                0.46662,                0.39521,                0.76577,                 1.1922,                 1.0522,               0.000595,               0.000595,               0.000595
                     97,                0.49477,                   0.35,                0.87472,                0.64529,                0.44635,                 0.4693,                0.39606,                0.76562,                 1.1994,                 1.0527,               0.000496,               0.000496,               0.000496
                     98,                 0.4941,                0.34443,                0.87493,                0.66953,                0.43013,                0.47045,                0.39743,                 0.7667,                 1.1987,                 1.0519,               0.000397,               0.000397,               0.000397
                     99,                0.49082,                0.34111,                0.87324,                0.64739,                0.45162,                0.46892,                0.39613,                0.76601,                 1.1941,                 1.0526,               0.000298,               0.000298,               0.000298
